PLOT,SIZE,DENSITY,SEEDYR,SAMPYR,AGE,SHOOTS
SB 105,1,100,2001,2017,16,494.8
SB 106,1,100,2001,2017,16,448
SB 128,1,100,2001,2017,16,386.4
SB 148,1,100,2001,2017,16,377.2
SB 152,1,100,2001,2017,16,276.8
SB 91,1,100,2001,2017,16,578.8
SB T1.5,1,0,NA,2017,8,678.8
SB T1.8,1,0,NA,2017,10,625.6
SB T3.4,1,0,NA,2017,8,60
SB T3.6,1,0,NA,2017,9,348
SB T6.3,1,0,NA,2017,10,643.2
SB T6.5,1,0,NA,2017,8,670.4
